text,label
"Hey are we still on for lunch tomorrow?",0
"URGENT: Your bank account will be closed. Verify now at http://fake-bank.example",1
"Thanks for sending the notes from class!",0
"Congratulations! You won $5000. Click here to claim your prize now!!!",1
"Can you pick up milk on the way home?",0
"Your package could not be delivered. Pay customs fee here: bit.ly/scam-link",1
"See you at the library at 3pm",0
"IRS final notice. You owe taxes. Send gift cards to avoid arrest.",1
"Happy birthday! Hope you have a great day",0
"FREE iPhone! You are selected. Text YES to 99999",1
"Did you finish the homework for chapter 5?",0
"Your Netflix payment failed. Update billing: netflix-verify-scam.com",1
"I will be five minutes late to the meeting",0
"Act now: cryptocurrency investment guaranteed 300% returns",1
"Here is the link to the slides from today",0
"Your password expired. Confirm login: secure-login-fake.org",1
"Mom called, she wants you to call back when you can",0
"You have (1) new voicemail. Open attachment voicemail.exe",1
"Group project: I pushed my changes to the repo",0
"Dear user your account is compromised reset password immediately",1
"Want to grab coffee this weekend?",0
"Lottery winner! Transfer fee required to release funds.",1
"The restaurant was great last night thanks for recommending it",0
"Wire transfer required. Send $500 to unlock inheritance.",1
"Reminder: dentist appointment Thursday 10am",0
"Hot singles in your area click now",1
"I forwarded the email from the professor",0
"Your Amazon order problem. Click to fix: amzn-security.xyz",1
"Practice is moved to 6pm tonight",0
"Verify your Apple ID or your device will be locked forever",1
"Thanks again for helping with the move",0
"CashApp: You received $800. Accept here before it expires",1
"Let me know if you need a ride to campus",0
"Technical support: We detected viruses on your PC call this number",1
"I saved you a seat in the lecture hall",0
"PayPal: Unusual activity. Confirm your identity within 24 hours",1
"Can you send me the syllabus PDF?",0
"Earn $2000/week working from home. No experience needed!!!",1
"The weather looks nice for the picnic Saturday",0
"Your social security number was suspended. Call immediately.",1
"I will email the draft by tonight",0
"Crypto wallet sync failed. Enter seed phrase at restore-wallet.io",1
"Good luck on your exam tomorrow!",0
"You have been chosen for a free cruise. Pay processing fee only.",1
"Do you want to split an Uber to the airport?",0
"Account verification required. Upload photo of ID and credit card.",1
"See the attached agenda for next week's meeting",0
"Final warning: legal action unless you pay Bitcoin today",1
"I left your book on the desk in the lab",0
"Smishing: Tap to track your delivery http://evil-track.net",1
